"$misalignment_angle [deg]","$slide [mm]","Freq [kHz]","$gap [mm]","Matrix1.CplCoef(Current1,Current2) []"
20,60,150,200,0.00513582805211644
-20,80,150,100,0.0166123740704032
-20,80,150,120,nan
-20,80,150,140,0.00876682365340217
-20,80,150,160,0.00648390329446964
-20,80,150,180,0.00503213002861941
-20,80,150,200,0.00383016785818008
-10,80,150,100,0.0188961032157734
-10,80,150,120,0.0135241139781984
-10,80,150,140,0.00982548980124064
-10,80,150,160,0.00727361574040376
-10,80,150,180,0.00556180532823614
-10,80,150,200,0.00425845766943304
0,80,150,100,0.020459731219193
0,80,150,120,0.0145554855461943
0,80,150,140,0.0106290871261238
0,80,150,160,0.00795265190774473
0,80,150,180,0.00597604563020098
0,80,150,200,0.0046024819366372
10,80,150,100,0.021758930039169
10,80,150,120,0.0154567441219278
10,80,150,140,0.0112031513072738
10,80,150,160,0.00828944331827644
10,80,150,180,0.00622641278838167
10,80,150,200,0.00478156396886874
20,80,150,100,0.0226746907851104
20,80,150,120,0.0159468422199051
20,80,150,140,0.0115730159506027
20,80,150,160,0.00854114177080826
20,80,150,180,0.00639008794817612
20,80,150,200,0.00489098871569168
-20,100,150,100,0.0114359456299035
-20,100,150,120,0.00891814216683565
-20,100,150,140,0.00693535887122863
-20,100,150,160,0.00542675249685724
-20,100,150,180,0.00423129712744585
-20,100,150,200,0.00333299359369547
-10,100,150,100,0.0140739980764029
-10,100,150,120,0.0107166958379121
-10,100,150,140,0.00812758621069833
-10,100,150,160,0.00625343626599073
-10,100,150,180,0.0048471067185874
-10,100,150,200,0.00381766372821722
0,100,150,100,0.0159662647735797
0,100,150,120,0.0119861175118337
0,100,150,140,0.00898405315904801
0,100,150,160,0.00690192215398851
0,100,150,180,0.00535185092675019
0,100,150,200,0.0041500722805378
10,100,150,100,0.0173264177150313
10,100,150,120,0.0129385503810992
10,100,150,140,0.00969864273829152
10,100,150,160,0.00735958356461162
10,100,150,180,0.00568493215987391
10,100,150,200,0.00443044824171936
20,100,150,100,0.0183803822037613
20,100,150,120,nan
20,100,150,140,0.0102136346560511
20,100,150,160,0.00771510787143969
20,100,150,180,0.00585733973669376
20,100,150,200,0.00455538076908315
